dtstart,dtend,created,description,location,summary
2022-07-12T19:15:00Z,2022-07-12T21:30:00Z,2022-06-04T10:48:22Z,"„Méditation” von Jules Massenet zählt zu den berühmtesten klassischen Melodien. Sie stammt aus dessen comédie lyrique „Thaïs“. Diese etablierte sich nie im internationalen Opernrepertoire, vermutlich da die beiden Hauptrollen eine fast übermenschliche Herausforderung für Sänger*innen darstellen. In der Inszenierung von Peter Konwitschny im Theater an der Wien beeindruckt die amerikanische Sopranistin Nicole Chevalier in der Hauptrolle. Ihr zur Seite feiert der österreichische Bassbariton Josef Wagner sein Hausdebüt.\n \nhttps://filmfestival-rathausplatz.at/event/thais",,Thaïs
2022-07-13T19:15:00Z,2022-07-13T21:30:00Z,2022-06-04T10:48:22Z,"Die Berliner Philharmoniker, Dirigent und Pianist Wayne Marshall und Schlagzeuger Martin Grubinger begeistern ihr Publikum in einem langersehnten Konzert mit amerikanischen Rhythmen und Werken von Leonard Bernstein, George Gershwin und John Williams. Dabei stellt Multi-Perkussionist Martin Grubinger sein großes Unterhaltungstalent zur Schau und entlockt seinen Instrumenten einen wahren Reichtum an Klängen: Mit der Filmmusik von John Williams („Star Wars”, „Indiana Jones”, „Harry Potter” u. a.) zelebriert er das gesamte Spektrum der Stilformen: Salsa, Tango, Funk, Fusion, Rock und Pop sowie Minimal Music .\n \n https://filmfestival-rathausplatz.at/event/martin-grubinger-at-waldbuehne-2021-american-rhythms",,Martin Grubinger At Waldbühne 2021: American Rhythms
2022-07-14T19:15:00Z,2022-07-14T21:30:00Z,2022-06-04T10:48:22Z,Am 27. Juli 1986 trat die britische Rockband Queen im Népstadion in Budapest auf – vor 80.000 ekstatischen Fans. Im Gepäck hatten sie ihre größten Hits. Das Konzert war Teil der letzten Tour der Band mit Leadsänger Freddie Mercury.\n \nhttps://filmfestival-rathausplatz.at/event/queen-hungarian-rhapsody-live-in-budapest,,Queen: Hungarian Rhapsody Live In Budapest
2022-07-15T19:15:00Z,2022-07-15T20:15:00Z,2022-06-04T10:48:22Z,<html-blob>Der Konzertfilm vereint Highlights aus der illustren Karriere des 16-fachen Grammy-Award-Gewinners mit überwältigenden Darbietungen der Songs aus seinem Album „57th &amp; 9th” – darunter die ohrwurmverdächtige Single „I Can t Stop Thinking About You” sowie die großen Hits aus der Zeit von The Police und seiner Solokarriere. Die gesamte Bandbreite von Stings eklektischem Stil und seiner Songwriting-Einflüsse in einer einzigen Live-Show: ein Meilenstein!</html-blob><br><html-blob>&nbsp;</html-blob><br><html-blob>https://filmfestival-rathausplatz.at/event/sting-live-at-the-olympia-paris <br></html-blob>,,Sting: Live At The Olympia| Paris
2022-07-15T20:15:00Z,2022-07-15T21:30:00Z,2022-06-04T10:48:22Z,"Amy Winehouse war bekannt für ihre tiefe Soulstimme und ihre vielseitige Mischung verschiedenster Musikrichtungen. Der Konzertfilm „I Told You I Was Trouble” wurde am 29. Mai 2007 live im Shepherd s Bush Empire in London gefilmt und beinhaltet Hits wie „Back To Black”, „Valerie” und „Rehab”.\n \nhttps://filmfestival-rathausplatz.at/event/amy-winehouse-live-aus-dem-shepherd-s-bush-empire",,Amy Winehouse: Live aus dem Shepherd's Bush Empire
2022-07-16T19:15:00Z,2022-07-16T21:30:00Z,2022-06-04T10:48:22Z,"Nach „Schneewittchen” und „Romeo und Julia” kehrt Angelin Preljocaj mit einem weiteren narrativen Ballett zu seiner Passion für Erzählungen zurück. Basierend auf Tschaikowskis Musik, doch mit zeitgenössischen Anteilen, widmet er sich der Sage der Schwanentänzerin. Zur Würdigung von Marius Petipa versetzt er sich mit seinen Ideen in die Fantasie des legendären Choreografen und schenkt uns einen ganz neuen Blick auf den berühmten Schwanensee.\n \nhttps://filmfestival-rathausplatz.at/event/schwanensee-2",,Schwanensee
2022-07-17T19:15:00Z,2022-07-17T21:30:00Z,2022-06-04T10:48:22Z,"Selten hat ein Werk mit solcher Unmittelbarkeit in Wien eingeschlagen wie Johann Strauß’ „Die Fledermaus”. Von der Uraufführung 1874 an brachte man das Stück in höchster Spieldichte, 1894 kam es zu Hofopern-Ehren, um seither nahezu durchgehend – und seit 1900 fast immer zu Silvester– im Repertoire zu bleiben. Die berühmteste aller Operetten rührt geschickt und mit leichter Hand an Spielarten der erotischen und sozialen Verstellung und bringt die bürgerlichen Fassaden zum Tanzen, politische und gesellschaftliche Kommentare inklusive.\n \nhttps://filmfestival-rathausplatz.at/event/die-fledermaus-3",,Die Fledermaus
2022-07-18T19:15:00Z,,2022-06-04T10:48:22Z,Zur Musik des international renommierten Avantgarde-Akkordeonisten Kimmo Pohjonen werden in dem Tanzkurzfilm „Subsurface” archaische Naturelemente zu Metaphern für die verschiedenen Ebenen einer Beziehung.\n \nhttps://filmfestival-rathausplatz.at/event/subsurface/,,Subsurface
2022-07-18T19:22:00Z,2022-07-18T21:30:00Z,2022-06-04T10:48:22Z,"Das Bayfront Jazz Festival fand 2021 in Miami statt – mit dem erklärten Ziel, Stars des Jazz sowie der afro-kubanischen, lateinamerikanischen und der elektronischen Musik zu feiern. Zum ausgezeichneten Line-up gehörte Dee Dee Bridgewater, eine kühne Performerin mit großer Tiefgründigkeit, deren Talent ihr bereits drei Grammys und einen Tony Award beschert hat. Beim Bayfront Jazz Festival stand sie mit The Memphis Soulphony auf der Bühne.\n \nhttps://filmfestival-rathausplatz.at/event/dee-dee-bridgewater-live-at-the-bayfront-jazz-festival",,Dee Dee Bridgewater: Live At The Bayfront Jazz Festival
2022-07-19T19:15:00Z,2022-07-19T21:30:00Z,2022-06-04T10:48:22Z,"Das 82. Neujahrskonzert der Wiener Philharmoniker fand am 1. Jänner 2022 im Wiener Musikverein statt. Dirigent war zum dritten Mal Daniel Barenboim, der das Konzert bereits in den Jahren 2009 und 2014 dirigiert hatte. Als Pianist feierte Barenboim sein Debüt mit den Wiener Philharmonikern im Jahr 1965.\n \nhttps://filmfestival-rathausplatz.at/event/neujahrskonzert-2022",,Neujahrskonzert 2022
