"Cinema","Subject","Start ISO","Start Date","Start Time","End ISO","End Date","End Time","Description","Location"
"Filmfestival Rathausplatz","Les Misérables In Concert","2022-09-02T18:30:00Z","2022-09-02",20:30:00,"2022-09-02T20:30:00Z","2022-09-02",22:30:00,"https://filmfestival-rathausplatz.at/event/schwanensee-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","John Williams: Live In Vienna","2022-09-03T18:30:00Z","2022-09-03",20:30:00,"2022-09-03T20:30:00Z","2022-09-03",22:30:00,"https://filmfestival-rathausplatz.at/event/coldplay-live-in-sao-paulo-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Il Barbiere di Siviglia","2022-09-04T18:30:00Z","2022-09-04",20:30:00,"2022-09-04T20:30:00Z","2022-09-04",22:30:00,"https://filmfestival-rathausplatz.at/event/les-miserables-in-concert-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Kaleidoskop","Lingui","2022-07-01T19:00:00Z","2022-07-01",21:00:00,"2022-07-01T21:00:00Z","2022-07-01",23:00:00,"https://kaleidoskop.film/programm/lingui/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Residue","2022-07-02T19:00:00Z","2022-07-02",21:00:00,"2022-07-02T21:00:00Z","2022-07-02",23:00:00,"https://kaleidoskop.film/programm/residue/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Que Dieu Te Protège (May God Be With You)","2022-07-03T19:00:00Z","2022-07-03",21:00:00,"2022-07-03T21:00:00Z","2022-07-03",23:00:00,"https://kaleidoskop.film/programm/que-dieu-te-protege/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Uncomfortably Comfortable","2022-07-04T19:00:00Z","2022-07-04",21:00:00,"2022-07-04T21:00:00Z","2022-07-04",23:00:00,"https://kaleidoskop.film/programm/uncomfortably-comfortable/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Krai","2022-07-05T19:00:00Z","2022-07-05",21:00:00,"2022-07-05T21:00:00Z","2022-07-05",23:00:00,"https://kaleidoskop.film/programm/krai/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Atlantique (Atlantics)","2022-07-06T19:00:00Z","2022-07-06",21:00:00,"2022-07-06T21:00:00Z","2022-07-06",23:00:00,"https://kaleidoskop.film/programm/atlantique/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Dno Táxi Do Jack (Jack’s Ride)","2022-07-07T19:00:00Z","2022-07-07",21:00:00,"2022-07-07T21:00:00Z","2022-07-07",23:00:00,"https://kaleidoskop.film/programm/no-taxi-do-jack/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Dida","2022-07-08T19:00:00Z","2022-07-08",21:00:00,"2022-07-08T21:00:00Z","2022-07-08",23:00:00,"https://kaleidoskop.film/programm/dida/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Give Me Liberty","2022-07-09T19:00:00Z","2022-07-09",21:00:00,"2022-07-09T21:00:00Z","2022-07-09",23:00:00,"https://kaleidoskop.film/programm/give-me-liberty/","Karlsplatz, 1040 Wien"
"Kaleidoskop","Beatrix","2022-07-10T19:00:00Z","2022-07-10",21:00:00,"2022-07-10T21:00:00Z","2022-07-10",23:00:00,"https://kaleidoskop.film/programm/beatrix/","Karlsplatz, 1040 Wien"
"Kaleidoskop","La Mif (The Fam)","2022-07-11T19:00:00Z","2022-07-11",21:00:00,"2022-07-11T21:00:00Z","2022-07-11",23:00:00,"https://kaleidoskop.film/programm/la-mif/","Karlsplatz, 1040 Wien"
